SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE
GEF Cash,20260101,TXIN,1,91880.76,0,cash
BESI,20260113,BUY,195.1004211,95,0,Stock
SMTC,20260120,BUY,75.7,190,0,Stock
UBER,20260122,SELL,83.51,232,0,Stock
SPMO,20260122,SELL,118.51,160,0,Stock
INTC,20260122,BUY,54.4,450,0,Stock
LITE,20260127,BUY,335.2,75,0,Stock
VVX,20260128,BUY,68.88,290,0,Stock
AVGO,20260128,BUY,338.2,75,0,Stock
GEF Cash,20260203,TXIN,1,350000,0,cash
BE,20260203,BUY,166,120,0,Stock
AVGO,20260203,BUY,316,47,0,Stock
INTC,20260203,BUY,48.5,310,0,Stock
NVDA,20260203,BUY,178,84,0,Stock
SITM,20260203,BUY,352.9,70,0,Stock
KOPN,20260204,BUY,2.55,3900,0,Stock
BE,20260204,BUY,139,110,0,Stock
ONTO,20260204,BUY,199.73,150,0,Stock
NVMI,20260204,BUY,444.9677,65,0,Stock
META,20260204,BUY,688.43,35,0,Stock
JEPI,20260206,BUY,58.53,850,0,Stock
KOPN,20260206,BUY,2.38,4150,0,Stock
ZM,20260206,BUY,91.32,165,0,Stock
CIEN,20260211,BUY,283.52,95,0,Stock
NVMI,20260226,SELL,458.35,65,0,Stock
LITE,20260306,BUY,681.73,22,0,Stock
NVDA,20260306,BUY,182.34,80,0,Stock
FOUR,20260312,SELL,46.1,324,0,Stock
SOI,20260312,BUY,66.06670667,750,0,Stock
SKYT,20260121,BUY,34.98,500,0,Stock
SKYT,20260318,SELL,27.82,500,0,Stock
WMT,20260323,SELL,120.68,103,0,Stock
GEF Cash,20260102,TXIN,1,45.02,0,cash
GEF Cash,20260106,TXIN,1,16.95,0,cash
GEF Cash,20260128,TXIN,1,37.8,0,cash
GEF Cash,20260218,TXIN,1,119.95,0,cash
GEF Cash,20260305,TXIN,1,209.05,0,cash
GEF Cash,20260313,TXIN,1,14.01,0,cash
GEF Cash,20260317,TXIN,1,10,0,cash
GEF Cash,20260326,TXIN,1,12.17,0,cash
GEF Cash,20260327,TXIN,1,28.67,0,cash
GEF Cash,20260330,TXIN,1,41.55,0,cash
JEPI,20260422,SELL,57.31,850,0,Stock
BX,20260428,SELL,121.48,115,0,Stock
VVX,20260428,SELL,63.29,290,0,Stock
6315.T,20260430,BUY,18.71706897,1450,0,Stock
KOPN,20260430,SELL,3.71,8050,0,Stock
SITM,20260430,SELL,530.4,70,0,Stock
BE,20260430,SELL,267,230,0,Stock
INTC,20260430,SELL,92.2,310,0,Stock
AVGO,20260430,SELL,411,47,0,Stock
PDFS,20260501,BUY,42.95,800,0,Stock
WOLF,20260501,BUY,30.9,1000,0,Stock
BOXX,20260501,BUY,116.58,600,0,Stock
WOLF,20260505,SELL,39.25,1000,0,Stock
SOI,20260507,SELL,179.32432,750,0,Stock
INTC,20260507,SELL,110.96,450,0,Stock
ONTO,20260507,SELL,293.68,150,0,Stock
CIEN,20260507,SELL,566.06,95,0,Stock
LITE,20260507,SELL,913.05,97,0,Stock
ON,20260507,BUY,101.5,240,0,Stock
LITE,20260508,BUY,910,20,0,Stock
CIEN,20260508,BUY,542,37,0,Stock
PDFS,20260508,BUY,47.8,310,0,Stock
BOXX,20260511,SELL,116.65,600,0,Stock
TXN,20260511,BUY,295.49,100,0,Stock
STM,20260511,BUY,59.05,500,0,Stock
BOXX,20260511,BUY,116.718,2000,0,Stock
IFX,20260513,BUY,73.08775,600,0,Stock
TXN,20260513,BUY,304.8,30,0,Stock
BOXX,20260513,BUY,116.73,430,0,Stock
DGXX,20260513,BUY,8.878971429,3500,0,Stock
WOLF,20260513,BUY,70.22,600,0,Stock
ZM,20260521,SELL,96.12,165,0,Stock
META,20260522,SELL,607.485428,78,0,Stock
IFX,20260623,SELL,92.91851667,600,0,Stock
BESI,20260623,SELL,340.8192632,95,0,Stock
SMTC,20260623,SELL,161.133942,190,0,Stock
AVGO,20260623,SELL,377.622084,75,0,Stock
TOWA,20260624,SELL,19.57433793,1450,0,Stock
STM,20260626,SELL,71.39,500,0,Stock
QQQ,20260629,SELL,715.127483,81,0,Stock
GOOGL,20260629,SELL,342.262356,68,0,Stock
NVDA,20260629,SELL,194.893243,146,0,Stock
GEF Cash,20260401,TXIN,1,34.13,0,cash
GEF Cash,20260401,TXIN,1,60.3,0,cash
GEF Cash,20260401,TXIN,1,139.76,0,cash
GEF Cash,20260402,TXIN,1,1.02,0,cash
GEF Cash,20260407,TXIN,1,250.2,0,cash
GEF Cash,20260407,TXIN,1,17.85,0,cash
GEF Cash,20260501,TXIN,1,37.8,0,cash
GEF Cash,20260504,TXIN,1,149.21,0,cash
GEF Cash,20260612,TXIN,1,14.01,0,cash
GEF Cash,20260616,TXIN,1,10.47,0,cash
GEF Cash,20260618,TXIN,1,319.86,0,cash
GEF Cash,20260625,TXIN,1,147.85,0,cash
GEF Cash,20260629,TXIN,1,25.55,0,cash
URTH,20260724,BUY,200.840367,1200,0,Stock
IDEV,20260724,BUY,88.344155,1100,0,Stock
